fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
patchy,69,-36.373674,17.682674,5.694846,-35.424958,25.457602,8.736956,-35.928446,31.814911,11.846203,-35.249772,39.362247,15.104461,-35.221163,52.090122,17.871503,-34.616133,68.016330,21.979140,-35.213140,90.801889,30.079182,-35.639743,135.242262,45.547982,-36.073032,234.435112,87.942754
patchy,70,-34.780251,14.200751,6.390270,-36.572028,22.213418,9.199290,-35.390035,29.577628,12.008582,-34.247939,38.337476,14.900742,-35.138342,51.232885,17.648991,-34.801980,67.417598,21.596702,-34.708102,91.360091,29.221274,-36.519789,134.413902,45.006690,-35.982903,235.720139,86.491823
patchy,71,-36.440137,18.219691,5.611178,-35.950123,25.609883,8.715309,-35.039520,32.759447,11.724273,-33.855384,41.054981,14.742212,-34.326807,53.662980,17.605701,-34.519479,69.457098,21.819941,-34.933399,94.387429,28.422439,-35.603957,135.876337,43.227066,-36.581624,237.470057,83.713883
patchy,72,-35.874211,20.981628,5.227256,-33.981799,25.750602,8.730129,-33.587617,32.043557,11.781282,-33.681927,40.454162,14.651385,-33.764052,52.990384,17.240784,-34.441184,66.782624,21.511738,-34.896077,90.986183,28.209502,-34.704730,130.625291,43.320898,-36.578509,229.754043,83.558573
patchy,73,-35.406367,19.122291,5.179565,-35.715782,23.647235,8.919000,-34.284454,30.014285,12.043874,-34.472320,39.216688,14.805678,-33.684230,52.082748,17.519714,-34.849859,68.364548,21.827296,-35.395879,96.131592,28.095670,-33.912752,137.328931,42.717703,-35.795147,238.622276,83.847690
patchy,74,-29.200909,18.890705,5.533358,-30.260654,24.858310,9.018921,-32.020189,31.622132,12.181669,-32.807073,40.811866,15.039747,-33.446995,53.597697,17.910680,-33.300188,70.671218,21.761284,-33.143515,94.331333,28.679184,-33.787300,136.770650,43.757546,-34.786994,242.142841,84.510332
patchy,75,-27.153440,17.490481,5.628773,-28.885319,23.252756,9.365612,-30.191974,29.717108,12.697464,-31.612738,40.420178,15.298914,-32.489412,55.231982,17.868151,-32.676071,72.873620,21.710567,-33.185510,93.757315,30.017610,-34.230964,137.599680,44.653803,-34.156828,238.006374,86.427493
patchy,76,-30.818632,17.668343,5.913022,-31.174072,24.531298,9.356352,-29.929216,32.487616,12.173960,-31.732121,41.623511,15.058837,-32.686072,53.102943,18.397170,-33.192511,68.704051,22.763317,-33.003390,91.562925,30.346550,-33.594236,133.023109,44.854994,-33.657823,235.541413,85.270484
patchy,77,-31.532493,18.742417,5.487390,-31.565850,24.356280,9.013820,-30.360061,31.128079,12.085707,-31.106016,40.658639,14.754210,-31.719258,52.097536,18.005994,-32.709816,67.657476,22.531326,-32.374989,91.430326,30.255204,-33.245346,136.937580,44.571875,-33.453460,241.697997,82.983471
patchy,78,-29.463535,20.491796,5.364481,-28.623247,26.585439,8.826145,-28.657334,33.437265,12.024044,-30.749645,43.859185,14.615461,-31.224160,56.551677,17.638049,-31.613725,74.043720,21.640013,-32.029434,96.784088,29.510058,-33.152533,140.757427,44.535110,-33.229798,243.965396,84.407107
patchy,79,-29.458439,22.950362,5.555645,-31.525102,27.536133,9.037518,-32.557728,34.049440,12.391161,-33.187652,44.878135,15.061831,-33.197355,58.271123,18.233668,-32.885263,77.852979,21.915633,-32.832987,99.704921,29.947187,-32.603682,143.102508,45.438903,-33.548466,248.126544,88.437145
patchy,80,-36.644286,22.510315,5.328068,-36.526244,27.731010,9.173207,-37.224493,34.482893,12.371456,-36.536122,45.121135,14.749232,-35.652582,55.749134,18.162224,-34.589190,70.905805,22.903600,-34.062644,97.771216,29.696343,-33.270522,144.382932,44.474391,-33.818524,243.843402,88.092224
patchy,81,-33.795829,18.088210,5.602793,-32.809518,24.702942,9.170616,-33.958663,32.387117,12.035612,-33.231408,41.843908,14.780463,-32.568325,53.022286,18.241404,-32.723763,72.328447,21.651629,-33.010207,95.663632,29.235680,-33.655526,137.908905,46.421169,-33.232077,238.527311,88.995036
