fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90,fibro_type
diffuse,29,-78.590043,49.50891,16.69018,-82.485192,78.652365,22.064586,-85.12188,86.319953,26.482262,-85.71778,97.357318,33.447729,-84.007587,130.233844,39.349973,-84.512063,168.66779,51.118671,-84.95725,226.10773,66.488646,-85.022384,319.783121,92.3695,-87.103121,445.855238,135.197559,diffuse
diffuse,30,-82.71231,31.085209,18.358921,-82.678122,74.173235,22.531853,-83.426978,80.03933,27.206716,-83.978827,93.27716,33.652012,-83.987622,124.790248,40.051205,-84.759161,159.109617,52.205489,-84.709564,220.718745,65.858618,-84.783399,314.824903,92.372984,-87.169721,440.092937,135.455975,diffuse
diffuse,31,-0.0,18.508806,16.394256,-83.156681,76.034227,23.246989,-83.431134,81.948443,25.833638,-83.477237,93.290452,32.974577,-83.793298,127.159839,38.591349,-85.40004,160.849096,51.05678,-84.483361,213.247935,68.327576,-84.913929,309.32773,92.722082,-86.825402,442.553421,134.576446,diffuse
diffuse,32,23.14887,16.909483,15.889245,-79.682705,75.166139,19.613715,-82.013912,77.598809,24.70176,-83.102478,90.924806,32.663639,-83.910173,121.967311,39.219777,-83.583101,161.991972,50.239017,-84.414571,218.041682,66.325072,-83.979384,313.133374,91.265448,-87.314145,441.202099,134.733234,diffuse
diffuse,33,43.410085,18.703521,18.107645,-80.121216,75.947866,20.128294,-80.611671,80.883728,24.948032,-81.903523,93.608028,31.89118,-82.762174,121.457418,39.560738,-82.763426,162.708951,50.533548,-83.993877,216.936829,66.381781,-84.522048,312.274208,92.376027,-87.430857,445.459876,134.748524,diffuse
diffuse,34,-72.584736,18.128512,17.658616,-84.928922,78.459176,18.787926,-84.281103,80.737183,23.441748,-83.894713,93.057701,31.865067,-83.729793,117.887538,40.401219,-83.382721,165.192334,50.194487,-83.777577,221.685232,66.206636,-83.694339,317.322245,92.538083,-86.738908,443.075741,136.160109,diffuse
diffuse,35,-11.516378,17.426735,15.801052,-84.395694,71.791067,19.074016,-82.671534,81.318531,22.948912,-83.208611,96.327272,30.877174,-83.737185,124.770985,38.609451,-83.247192,165.964092,49.925761,-83.592903,217.351146,66.291059,-84.675088,313.239725,92.059469,-87.017093,440.565817,135.92951,diffuse
diffuse,36,10.11999,20.01055,18.710018,-84.722189,69.099646,20.606794,-83.654005,82.891437,24.46472,-83.342863,99.889607,31.426443,-84.543941,127.319376,39.086913,-84.993554,167.557252,50.106068,-83.750317,216.806867,67.116812,-84.999199,322.266973,90.746445,-86.897527,442.312129,134.680459,diffuse
diffuse,37,-81.806703,43.614531,17.317794,-83.965694,76.813103,20.634467,-83.780117,77.663256,25.56393,-83.719252,94.80374,32.181086,-84.244809,122.066585,39.63866,-84.330797,158.862554,51.245041,-83.792806,214.040281,66.14247,-84.915764,311.440043,91.817744,-86.984017,442.215431,134.839702,diffuse
diffuse,38,33.7775,24.24902,15.733324,-88.017518,64.631293,25.222341,-85.062586,75.9904,27.988052,-84.583756,91.909635,33.694871,-83.590568,122.318667,40.323966,-83.894083,155.398246,53.029026,-83.752212,211.594255,68.944774,-84.771786,315.976367,92.341736,-86.829604,443.054469,136.701286,diffuse
diffuse,39,23.696803,20.773855,17.524657,-89.711487,63.209017,23.454855,-85.820841,77.464483,26.297032,-84.95195,98.433119,31.863601,-84.095241,122.299896,40.284728,-85.451259,161.695986,52.17124,-84.033662,217.831641,66.71721,-85.404222,316.612063,91.663897,-88.193443,446.819827,135.202856,diffuse
diffuse,40,-84.058802,68.295042,18.834554,-86.685642,81.604277,20.884428,-85.553999,85.205496,25.712169,-84.721594,101.931234,33.219569,-84.881117,127.744279,41.91581,-84.886861,174.129773,51.360814,-84.390946,222.907211,68.811111,-85.367674,324.48699,92.273021,-87.72093,445.144893,136.236172,diffuse
